MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2019-01-01 00:00:00,155,147.0,5082,0.0,1480.0,29.0,0.0,0.0,0,2209.0,6.0
2019-01-01 01:00:00,165,136.0,4885,0.0,1186.0,71.0,0.0,0.0,0,2251.0,10.0
2019-01-01 02:00:00,167,136.0,4387,0.0,1125.0,73.0,0.0,0.0,0,2031.0,14.0
2019-01-01 03:00:00,164,128.0,3343,0.0,1030.0,72.0,0.0,0.0,0,1689.0,14.0
2019-01-01 04:00:00,169,122.0,3115,0.0,1011.0,72.0,0.0,0.0,0,1645.0,16.0
2019-01-01 05:00:00,168,122.0,3381,0.0,1035.0,269.0,0.0,0.0,0,1811.0,17.0
2019-01-01 06:00:00,168,122.0,3340,0.0,1051.0,267.0,0.0,0.0,0,2000.0,15.0
2019-01-01 07:00:00,167,131.0,3281,0.0,1201.0,75.0,0.0,0.0,0,1725.0,13.0
2019-01-01 08:00:00,176,124.0,2586,0.0,1534.0,471.0,0.0,0.0,72,1550.0,12.0
2019-01-01 09:00:00,172,125.0,2606,0.0,1480.0,933.0,0.0,0.0,353,1453.0,7.0
2019-01-01 10:00:00,179,125.0,2663,0.0,1488.0,930.0,0.0,0.0,891,1416.0,4.0
2019-01-01 11:00:00,182,127.0,2683,0.0,1476.0,321.0,0.0,0.0,1395,1481.0,3.0
2019-01-01 12:00:00,186,138.0,3047,0.0,1284.0,262.0,0.0,0.0,1326,1748.0,1.0
2019-01-01 13:00:00,186,138.0,3367,0.0,1256.0,143.0,0.0,0.0,882,1692.0,1.0
2019-01-01 14:00:00,186,131.0,2984,0.0,1194.0,428.0,0.0,0.0,631,1558.0,4.0
2019-01-01 15:00:00,184,151.0,3381,0.0,1292.0,0.0,0.0,0.0,289,1824.0,3.0
2019-01-01 16:00:00,180,156.0,4367,0.0,1965.0,0.0,0.0,0.0,36,2031.0,2.0
2019-01-01 17:00:00,180,156.0,4922,0.0,3863.0,0.0,0.0,0.0,0,2103.0,2.0
2019-01-01 18:00:00,180,155.0,5048,0.0,4089.0,0.0,0.0,0.0,0,2118.0,5.0
2019-01-01 19:00:00,179,156.0,5463,0.0,4713.0,0.0,0.0,0.0,0,2166.0,5.0
2019-01-01 20:00:00,181,156.0,5183,0.0,3874.0,0.0,0.0,0.0,0,2030.0,3.0
2019-01-01 21:00:00,182,157.0,5042,0.0,3048.0,0.0,0.0,0.0,0,2015.0,3.0
2019-01-01 22:00:00,175,147.0,5087,0.0,1746.0,0.0,0.0,0.0,0,1906.0,4.0
2019-01-01 23:00:00,174,122.0,4522,0.0,1265.0,2.0,0.0,0.0,0,1821.0,6.0
